No.,Planet,Base Price,Telescope Number,Resources,Yield (%),CollapseDistance
49,Arabis,1.50Q,15,Uru,50,97
49,Arabis,1.50Q,15,Vibranium,50,97
50,Vesna,3.80Q,16,Vibranium,60,100
50,Vesna,3.80Q,16,Scrith,40,100
51,Chandra,10.00Q,16,Vibranium,100,102
52,Vega,25.00Q,16,Vibranium,70,103
52,Vega,25.00Q,16,Aether,20,103
52,Vega,25.00Q,16,Rhodium,10,103
53,Crius,60.00Q,17,Aether,50,105
53,Crius,60.00Q,17,Scrith,50,105
54,Singhana,150.00Q,17,Aether,100,107
55,Zumbia,360.00Q,17,Aether,70,108
55,Zumbia,360.00Q,17,Vibranium,20,108
55,Zumbia,360.00Q,17,Viterium,10,108
56,Elysium,900.00Q,18,Viterium,60,109
56,Elysium,900.00Q,18,Uru,40,109
57,Nyota,2.60s,18,Viterium,100,110
58,Doral,7.50s,18,Viterium,40,112
58,Doral,7.50s,18,Aether,40,112
58,Doral,7.50s,18,Xynium,20,112
59,Nikara,21.00s,19,Xynium,70,114
59,Nikara,21.00s,19,Vibranium,30,114
60,Limbo,59.00s,19,Xynium,100,115
61,Bob,170.00s,19,Xynium,70,116
61,Bob,170.00s,19,Quolium,30,116
62,Midas,460.00s,20,Quolium,55,118
62,Midas,460.00s,20,Aether,45,118
63,Antigone,1.30S,20,Quolium,100,120
64,Hecate,3.90S,20,Quolium,50,122
64,Hecate,3.90S,20,Xynium,25,122
64,Hecate,3.90S,20,Luterium,25,122
65,Sterop,11.00S,21,Luterium,60,124
65,Sterop,11.00S,21,Quolium,20,124
65,Sterop,11.00S,21,Viterium,17*,124
66,Lavinia,33.00S,21,Luterium,100,125
67,Ren,95.00S,21,Luterium,70,127
67,Ren,95.00S,21,Quolium,20,127
67,Ren,95.00S,21,Wraith,10,127
68,Gorgons,270.00S,22,Wraith,60,129
68,Gorgons,270.00S,22,Xynium,40,129
69,Pontus,800.00S,22,Wraith,80,131
69,Pontus,800.00S,22,Luterium,20,131
70,Leto,2.40 O,22,Wraith,100,134
71,Laconia,6.92 O,23,Wraith,40,Unknown
71,Laconia,6.92 O,23,Luterium,40,Unknown
71,Laconia,6.92 O,23,Aqualite,20,Unknown
72,Awohali,20.80 O,23,Aqualite,70,Unknown
72,Awohali,20.80 O,23,Quolium,30,Unknown
73,Pegasi,62.30 O,23,Aqualite,100,Unknown
74,Typhon,178 O,24,Aqualite,60,Unknown
74,Typhon,178 O,24,Opalite,40,Unknown
75,Surtur,516 O,24,Opalite,70,Unknown
75,Surtur,516 O,24,Wraith,30,Unknown
76,Vesta,1.81 N,24,Opalite,100,Unknown
